from,to,frequency
ImageGallery,Gmap,4938
Pixlr,ImageGallery,4862
Data Collection,Data Collection,4807
Question and Answer,Kaltura,4654
Survey,Pixlr,4613
VideoRecorder,Voting,4548
Voting,VideoRecorder,4543
VideoRecorder,Assessment,4541
Forum,Spreadsheet Tool,4448
Kaltura,Question and Answer,4442
Submit File,VideoRecorder,4411
Assessment,VideoRecorder,4410
Wiki,Scribe,4315
Chat,Spreadsheet Tool,4284
Mindmap,Spreadsheet Tool,4211
Pixlr,Shared TaskList,3933
VideoRecorder,Mindmap,3816
Shared TaskList,Pixlr,3772
MCQ,Kaltura,3771
Spreadsheet Tool,Survey,3739
Gmap,Gmap,3679
Data Collection,Pixlr,3660
Pixlr,Pixlr,3605
Data Collection,ImageGallery,3586
Spreadsheet Tool,Assessment,3544
Kaltura,Chat,3471
Spreadsheet Tool,Notebook,3437
ImageGallery,Data Collection,3391
Notebook,Spreadsheet Tool,3390
Assessment,Spreadsheet Tool,3376
Gmap,Survey,3217
Spreadsheet Tool,Forum,3189
Survey,Gmap,3176
Survey,Spreadsheet Tool,3158
Data Collection,Survey,3142
Submit File,Spreadsheet Tool,3131
Chat,Kaltura,3110
Scribe,Data Collection,3057
Shared TaskList,Data Collection,3042
Survey,Data Collection,2941
NoticeboardX,Scratchie,2930
Kaltura,Forum,2918
Pixlr,Scribe,2911
Spreadsheet Tool,Mindmap,2910
Wiki,Shared TaskList,2867
Wiki,Data Collection,2865
Shared TaskList,Wiki,2861
Kaltura,MCQ,2853
Scribe,Pixlr,2845
Scratchie,NoticeboardX,2805
Survey,VideoRecorder,2749
Forum,Kaltura,2740
Spreadsheet Tool,Voting,2695
Voting,Spreadsheet Tool,2663
Data Collection,Wiki,2606
Shared Resources,Leaderselection,2594
VideoRecorder,Survey,2571
Pixlr,Wiki,2559
Shared TaskList,Gmap,2366
VideoRecorder,ImageGallery,2356
Scribe,VideoRecorder,2317
Scribe,Gmap,2277
Kaltura,Mindmap,2233
VideoRecorder,VideoRecorder,2154
ImageGallery,VideoRecorder,2117
VideoRecorder,Scribe,2105
Data Collection,Shared TaskList,2069
Gmap,Scribe,2041
VideoRecorder,Shared TaskList,1989
Notebook,Kaltura,1928
Leaderselection,Shared Resources,1853
Spreadsheet Tool,Submit File,1816
Bbb,Forum,1792
NoticeboardX,Dimdim,1788
Spreadsheet Tool,ImageGallery,1787
Kaltura,Assessment,1786
Pixlr,Data Collection,1760
Gmap,Shared TaskList,1668
Kaltura,Notebook,1656
Shared Resources,Bbb,1593
Kaltura,Submit File,1582
Gmap,Pixlr,1531
Assessment,Kaltura,1528
Pixlr,Gmap,1527
Chat,Leaderselection,1507
